Location,Baths,Beds,Dining Room,Laundry Room,Store Rooms,Kitchens,Drawing Room,Gym,Powder Room,Steam Room,Prayer Rooms,Lounge or Sitting Room,price_usd,additional rooms,area_squared_meter,Total Rooms,total amenity rooms,total regular rooms,State
"Al Rehman Garden, Lahore, Punjab",4.0,3.0,1,1,1,2,1,0,0,0,1,0,47576.139845017125,1,104.0,15.0,2,13.0,Punjab
"Central Park Housing Scheme, Lahore, Punjab",4.0,3.0,0,0,0,0,0,0,0,0,0,0,62714.00252297711,0,130.0,7.0,0,7.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,0,0,0,0,0,0,0,0,0,0,371238.06091187603,1,506.0,12.0,0,12.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,2,1,0,1,1,1,1,297350.874031357,1,506.0,23.0,5,18.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,2,1,0,1,1,1,1,540637.9527842855,1,1012.0,22.0,5,17.0,Punjab
"Kahna, Lahore, Punjab",4.0,4.0,1,0,1,2,1,0,0,0,0,0,30636.150657776176,1,104.0,14.0,1,13.0,Punjab
"Kahna, Lahore, Punjab",3.0,2.0,1,0,1,1,1,0,1,0,0,0,22706.79401693999,1,130.0,11.0,2,9.0,Punjab
"Askari, Lahore, Punjab",6.0,5.0,1,0,1,2,1,0,1,0,0,1,320778.51865200937,1,442.0,19.0,3,16.0,Punjab
"Valencia Housing Society, Lahore, Punjab",6.0,6.0,1,1,0,0,1,0,1,1,1,1,612723.0131555236,1,1012.0,20.0,5,15.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,0,0,0,0,0,0,0,0,0,0,93710.57848260949,0,130.0,7.0,0,7.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,0,0,1,0,0,0,1,0,0,0,396467.83204180934,1,506.0,14.0,1,13.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,4.0,1,0,0,2,1,0,1,0,1,1,93710.57848260949,1,130.0,16.0,4,12.0,Punjab
"DHA 11 Rahbar, Lahore, Punjab",5.0,4.0,1,1,1,2,1,1,1,1,1,1,70282.9338619571,1,130.0,21.0,6,15.0,Punjab
"Wapda Town, Lahore, Punjab",5.0,5.0,0,0,0,0,0,0,0,0,0,0,144170.12074247614,1,260.0,11.0,0,11.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,7.0,1,1,1,2,1,0,1,1,1,1,486574.15750585694,1,1012.0,24.0,5,19.0,Punjab
"Garden Town, Lahore, Punjab",5.0,4.0,1,0,1,1,1,0,0,0,0,0,214453.05460443324,1,506.0,14.0,1,13.0,Punjab
"Bahria Nasheman, Lahore, Punjab",5.0,3.0,1,1,1,2,1,0,1,0,0,1,48657.41575058569,1,130.0,17.0,3,14.0,Punjab
"Bahria Nasheman, Lahore, Punjab",6.0,5.0,1,1,1,2,1,0,1,0,0,1,77491.43989908091,1,208.0,20.0,3,17.0,Punjab
"Bahria Nasheman, Lahore, Punjab",5.0,3.0,1,1,1,2,1,0,1,0,0,1,52261.668769147596,1,130.0,17.0,3,14.0,Punjab
"Central Park Housing Scheme, Lahore, Punjab",5.0,5.0,0,0,0,0,0,0,0,0,0,0,48657.41575058569,0,130.0,10.0,0,10.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,2,1,0,1,1,1,1,320778.51865200937,1,506.0,22.0,5,17.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,2,1,0,1,1,1,1,353216.7958190665,1,506.0,22.0,5,17.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,0,1,1,1,0,1,0,1,0,233916.02090466753,1,506.0,18.0,3,15.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,2,1,1,1,1,1,1,225265.81366011896,1,506.0,24.0,6,18.0,Punjab
"Johar Town, Lahore, Punjab",4.0,4.0,1,1,0,0,1,0,1,1,1,1,594701.748062714,1,260.0,16.0,5,11.0,Punjab
"DHA 11 Rahbar, Lahore, Punjab",4.0,3.0,1,1,0,0,1,0,1,1,1,1,82897.81942692377,1,130.0,15.0,5,10.0,Punjab
"Bahria Town, Lahore, Punjab",6.0,5.0,1,1,1,2,1,0,1,0,0,1,295548.74752207607,1,377.0,20.0,3,17.0,Punjab
"Jubilee Town, Lahore, Punjab",3.0,3.0,1,0,0,2,1,0,0,0,0,0,49378.26635429808,1,78.0,11.0,1,10.0,Punjab
"Canal Garden, Lahore, Punjab",6.0,5.0,1,0,0,2,1,0,1,0,0,1,72085.06037123807,1,130.0,18.0,3,15.0,Punjab
